               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06583,            0.022944,            0.087523,           0.0082383,             0.97521,            0.047639,            0.024376,            0.025854,           0.0047045,            0.059993,            0.070273,            0.003303,            0.003303
                   1,            0.040335,             0.01454,            0.081062,             0.01563,             0.99566,            0.078536,            0.048342,            0.022844,           0.0031917,            0.059008,            0.040141,            0.006505,            0.006505
                   2,            0.037828,            0.012161,            0.079511,             0.87877,            0.043182,            0.040347,            0.015371,             0.03818,           0.0064496,            0.063317,           0.0098779,           0.0095749,           0.0095749
                   3,             0.03443,             0.01167,            0.076985,             0.68046,             0.17525,              0.2162,             0.16151,            0.014772,           0.0032018,            0.054555,            0.009406,            0.009406,            0.009406
                   4,            0.032881,            0.011275,            0.072524,             0.55145,             0.34239,             0.22206,             0.13618,            0.022211,           0.0054603,            0.050023,            0.009406,            0.009406,            0.009406
                   5,            0.034183,             0.01111,            0.068942,             0.55185,              0.3072,             0.23441,             0.16726,             0.01583,            0.003161,            0.061811,            0.009208,            0.009208,            0.009208
                   6,            0.032469,            0.010912,            0.063277,             0.64226,               0.188,             0.21695,             0.11362,            0.028422,           0.0061657,            0.045683,             0.00901,             0.00901,             0.00901
                   7,            0.032054,            0.010322,            0.053939,             0.56869,             0.66712,             0.68926,             0.51683,            0.013774,           0.0029325,            0.033078,            0.008812,            0.008812,            0.008812
                   8,            0.031535,            0.010225,            0.047928,             0.71892,              0.7185,             0.84346,             0.64282,            0.017964,            0.003112,              0.0255,            0.008614,            0.008614,            0.008614
                   9,            0.033771,           0.0099325,            0.046057,             0.83566,             0.86158,             0.92973,             0.67653,            0.015547,           0.0029782,            0.015476,            0.008416,            0.008416,            0.008416
                  10,            0.032804,            0.010038,            0.042843,             0.86377,             0.94126,             0.97252,             0.75079,            0.017608,           0.0027218,            0.011586,            0.008218,            0.008218,            0.008218
                  11,            0.032702,            0.010069,            0.038006,             0.83269,             0.87055,             0.92545,             0.72145,            0.015033,           0.0026291,            0.013144,             0.00802,             0.00802,             0.00802
                  12,            0.030421,           0.0097754,             0.03289,             0.95609,             0.98454,             0.99045,             0.79684,            0.014861,           0.0023771,           0.0062761,            0.007822,            0.007822,            0.007822
                  13,            0.032049,           0.0097642,            0.031481,             0.87338,             0.84861,             0.94329,             0.72173,            0.015071,           0.0031418,           0.0098907,            0.007624,            0.007624,            0.007624
                  14,             0.02991,           0.0097003,            0.030812,             0.86266,             0.91086,             0.96222,             0.76891,            0.013229,           0.0024352,           0.0086108,            0.007426,            0.007426,            0.007426
                  15,            0.030469,            0.009627,            0.027958,             0.94185,             0.95804,             0.98923,             0.81176,            0.012665,           0.0022928,           0.0061073,            0.007228,            0.007228,            0.007228
                  16,            0.030524,           0.0095831,             0.02563,             0.96365,             0.98023,             0.99236,              0.8277,            0.012016,            0.002228,           0.0066567,             0.00703,             0.00703,             0.00703
                  17,            0.030685,           0.0095854,            0.025544,             0.94978,              0.9081,             0.97567,              0.8083,            0.011521,           0.0023754,           0.0063274,            0.006832,            0.006832,            0.006832
                  18,            0.029278,           0.0093099,            0.025173,             0.97976,             0.98974,             0.99299,             0.82607,            0.011335,           0.0022191,           0.0022595,            0.006634,            0.006634,            0.006634
                  19,            0.028067,           0.0091893,            0.021851,              0.9609,             0.98739,             0.99299,             0.85554,            0.011935,           0.0021618,           0.0034837,            0.006436,            0.006436,            0.006436
                  20,            0.027604,           0.0091328,            0.021878,              0.9698,             0.97188,             0.99299,              0.8539,             0.01087,           0.0020925,           0.0037027,            0.006238,            0.006238,            0.006238
                  21,            0.027513,           0.0089208,            0.022763,             0.97578,             0.99157,             0.99278,             0.85146,             0.01202,           0.0021416,           0.0020937,             0.00604,             0.00604,             0.00604
                  22,            0.027651,           0.0091659,            0.021522,             0.95137,             0.98413,             0.98748,             0.84832,            0.010864,           0.0022397,           0.0036855,            0.005842,            0.005842,            0.005842
                  23,            0.027122,           0.0087215,            0.020477,             0.96724,             0.97026,             0.99299,             0.86234,            0.010379,            0.002149,           0.0038021,            0.005644,            0.005644,            0.005644
                  24,            0.027178,           0.0086923,            0.019066,             0.98258,             0.99009,             0.99299,             0.86046,            0.010742,            0.002056,           0.0015721,            0.005446,            0.005446,            0.005446
                  25,            0.028811,           0.0088451,            0.018933,             0.98283,              0.9936,             0.99299,              0.8601,            0.010247,           0.0021224,           0.0013027,            0.005248,            0.005248,            0.005248
                  26,            0.025994,           0.0087239,            0.019892,             0.98193,             0.99374,             0.99299,             0.87005,           0.0095307,           0.0019937,           0.0011485,             0.00505,             0.00505,             0.00505
                  27,            0.027504,            0.008656,            0.017951,             0.98035,             0.99509,             0.99299,             0.87312,           0.0099252,           0.0019986,           0.0010938,            0.004852,            0.004852,            0.004852
                  28,            0.026931,           0.0085251,            0.017936,             0.96679,              0.9872,             0.99299,             0.87632,           0.0096951,            0.001956,           0.0013599,            0.004654,            0.004654,            0.004654
                  29,            0.024983,           0.0084446,            0.016149,             0.98364,             0.99205,               0.993,             0.86773,           0.0096739,           0.0020228,           0.0010634,            0.004456,            0.004456,            0.004456
                  30,             0.02425,            0.008355,            0.013809,              0.9788,             0.99271,               0.993,             0.87781,           0.0096503,           0.0020303,          0.00098243,            0.004258,            0.004258,            0.004258
                  31,            0.026043,             0.00841,            0.015133,             0.97028,             0.98308,              0.9928,             0.86671,           0.0093832,           0.0020808,           0.0021785,             0.00406,             0.00406,             0.00406
                  32,            0.023591,           0.0083823,            0.013753,              0.9831,             0.99575,               0.993,              0.8839,           0.0084943,           0.0019921,           0.0016811,            0.003862,            0.003862,            0.003862
                  33,            0.024026,           0.0083286,            0.015415,             0.98178,             0.99177,               0.993,             0.88396,           0.0090197,           0.0019199,           0.0010114,            0.003664,            0.003664,            0.003664
                  34,            0.024536,           0.0080836,            0.016025,              0.9868,             0.99772,               0.993,             0.89465,           0.0079175,            0.001823,          0.00069385,            0.003466,            0.003466,            0.003466
                  35,            0.024673,           0.0082384,            0.014198,             0.96657,             0.98027,              0.9928,             0.87985,           0.0085687,            0.002035,           0.0022885,            0.003268,            0.003268,            0.003268
                  36,            0.021756,           0.0079511,            0.011577,             0.98591,               0.995,             0.99301,             0.90129,           0.0079888,           0.0018247,          0.00079077,             0.00307,             0.00307,             0.00307
                  37,            0.022648,           0.0078888,            0.010937,             0.98587,             0.99333,             0.99301,             0.89632,           0.0081052,           0.0018292,          0.00055537,            0.002872,            0.002872,            0.002872
                  38,            0.022023,           0.0078194,            0.011587,             0.99021,             0.99587,             0.99302,             0.90501,           0.0085859,            0.001775,          0.00054256,            0.002674,            0.002674,            0.002674
                  39,            0.022011,           0.0079122,            0.012846,              0.9903,             0.99409,             0.99302,             0.90986,           0.0078757,           0.0017781,          0.00045388,            0.002476,            0.002476,            0.002476
                  40,            0.022291,           0.0078878,             0.01363,             0.98506,             0.99504,             0.99302,             0.90816,           0.0072295,           0.0017512,          0.00045659,            0.002278,            0.002278,            0.002278
                  41,            0.021935,           0.0076661,            0.010533,              0.9868,             0.99478,             0.99302,              0.9123,           0.0069588,           0.0017259,          0.00052107,             0.00208,             0.00208,             0.00208
                  42,            0.022257,           0.0077202,            0.011909,             0.98766,             0.99616,             0.99303,             0.91765,           0.0071943,           0.0017084,          0.00033752,            0.001882,            0.001882,            0.001882
                  43,            0.020561,           0.0076431,            0.011436,              0.9859,             0.99531,             0.99302,             0.92446,           0.0068361,           0.0016857,           0.0003151,            0.001684,            0.001684,            0.001684
                  44,            0.019444,           0.0075265,            0.010912,             0.98325,             0.99618,             0.99303,             0.92085,           0.0067113,           0.0016856,          0.00031839,            0.001486,            0.001486,            0.001486
                  45,            0.019814,           0.0074136,            0.010688,             0.97936,             0.99484,             0.99304,             0.92339,           0.0065857,           0.0016427,          0.00031548,            0.001288,            0.001288,            0.001288
                  46,            0.018285,            0.007338,           0.0095539,             0.98518,             0.99385,             0.99305,              0.9211,           0.0063899,           0.0016375,          0.00030196,             0.00109,             0.00109,             0.00109
                  47,            0.018716,           0.0072272,           0.0091769,             0.98742,             0.99522,             0.99306,             0.92228,            0.006439,           0.0016212,          0.00020318,            0.000892,            0.000892,            0.000892
                  48,            0.018416,           0.0073554,           0.0094382,             0.98578,             0.99524,             0.99306,             0.92503,           0.0062357,           0.0016221,          0.00025658,            0.000694,            0.000694,            0.000694
                  49,            0.017132,           0.0072917,           0.0091929,             0.98792,             0.99444,             0.99308,             0.93128,           0.0062014,           0.0016216,          0.00017402,            0.000496,            0.000496,            0.000496
