               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069145,            0.022836,            0.089996,           0.0071665,             0.97293,            0.044306,            0.025608,            0.022652,           0.0048907,            0.060715,            0.070273,            0.003303,            0.003303
                   1,            0.041102,            0.014583,            0.081829,            0.012222,             0.99566,            0.065359,            0.034862,            0.020581,           0.0034527,            0.060331,            0.040141,            0.006505,            0.006505
                   2,            0.038851,            0.012784,            0.080047,            0.041452,             0.38864,            0.082442,            0.040785,            0.020153,           0.0040217,            0.061187,           0.0098779,           0.0095749,           0.0095749
                   3,            0.035603,            0.011958,            0.078542,             0.57693,             0.10909,             0.09158,            0.053925,            0.023135,           0.0036693,            0.056394,            0.009406,            0.009406,            0.009406
                   4,            0.031941,            0.011276,             0.07636,             0.46917,             0.16908,             0.15851,             0.11933,            0.014379,           0.0032991,             0.05185,            0.009406,            0.009406,            0.009406
                   5,            0.033601,            0.011137,            0.076131,             0.46569,             0.18513,             0.18306,             0.13734,            0.013747,           0.0031848,            0.051488,            0.009208,            0.009208,            0.009208
                   6,            0.030473,            0.010869,            0.071928,              0.4042,               0.323,             0.25488,             0.17382,            0.016418,           0.0030065,            0.046225,             0.00901,             0.00901,             0.00901
                   7,            0.029544,            0.010572,            0.067818,             0.35636,              0.3792,             0.30413,             0.22926,            0.014896,           0.0028269,            0.041736,            0.008812,            0.008812,            0.008812
                   8,            0.029357,            0.010605,            0.064841,             0.35291,             0.34171,             0.29102,             0.20792,            0.014679,           0.0033454,            0.048236,            0.008614,            0.008614,            0.008614
                   9,            0.031005,            0.010144,            0.065113,             0.53205,             0.23392,             0.22335,             0.13309,            0.021076,           0.0057452,            0.049684,            0.008416,            0.008416,            0.008416
                  10,            0.030388,            0.010141,            0.061751,             0.46003,             0.50135,             0.50039,             0.35803,            0.015936,           0.0036194,            0.033008,            0.008218,            0.008218,            0.008218
                  11,            0.030034,            0.010327,            0.058192,              0.4425,             0.60362,             0.58968,             0.45794,            0.012548,           0.0026716,            0.034212,             0.00802,             0.00802,             0.00802
                  12,            0.028889,           0.0099291,            0.052739,             0.64482,             0.61339,             0.61461,              0.4775,              0.0152,           0.0030016,            0.029957,            0.007822,            0.007822,            0.007822
                  13,            0.030178,           0.0099625,            0.051024,             0.69412,               0.751,             0.80221,             0.66007,            0.011577,           0.0024392,            0.021554,            0.007624,            0.007624,            0.007624
                  14,            0.028986,           0.0098895,            0.048525,             0.42975,             0.56094,             0.53702,             0.40756,            0.012836,           0.0025892,            0.039849,            0.007426,            0.007426,            0.007426
                  15,            0.029703,           0.0099824,            0.044418,             0.69796,             0.76549,             0.85913,             0.67005,            0.012391,           0.0025814,            0.022548,            0.007228,            0.007228,            0.007228
                  16,            0.029976,           0.0097854,            0.041356,             0.82168,             0.87424,             0.93712,             0.76524,            0.013075,           0.0024502,            0.015372,             0.00703,             0.00703,             0.00703
                  17,            0.029492,            0.009847,            0.040383,             0.87578,              0.8719,             0.95211,             0.74535,            0.013261,           0.0025627,            0.013417,            0.006832,            0.006832,            0.006832
                  18,            0.028598,           0.0096116,            0.037132,             0.90482,             0.91889,              0.9765,             0.79608,            0.015589,           0.0024229,           0.0095858,            0.006634,            0.006634,            0.006634
                  19,            0.027495,            0.009607,            0.033388,             0.89117,             0.91274,             0.96652,             0.78674,            0.012357,           0.0024536,            0.010472,            0.006436,            0.006436,            0.006436
                  20,            0.028228,           0.0094727,            0.032308,             0.95929,             0.95348,             0.98529,             0.81212,            0.011522,           0.0022845,           0.0085178,            0.006238,            0.006238,            0.006238
                  21,            0.028057,           0.0093144,             0.03307,             0.92991,             0.96712,             0.98759,             0.80709,            0.012343,           0.0024576,           0.0065919,             0.00604,             0.00604,             0.00604
                  22,            0.027206,           0.0096124,            0.030977,             0.93223,              0.9591,             0.98577,             0.83437,            0.011866,           0.0024449,            0.006722,            0.005842,            0.005842,            0.005842
                  23,            0.027055,           0.0091329,            0.029099,             0.94606,             0.96655,             0.98768,             0.81117,            0.011748,           0.0023614,           0.0063331,            0.005644,            0.005644,            0.005644
