               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  24,            0.027117,           0.0091556,            0.027556,             0.97343,             0.97962,             0.99247,             0.85293,            0.011844,           0.0021929,            0.004179,            0.005446,            0.005446,            0.005446
                  25,            0.028259,           0.0091993,            0.026506,             0.96475,              0.9667,             0.99299,             0.83818,            0.010825,           0.0023321,           0.0055089,            0.005248,            0.005248,            0.005248
                  26,            0.026353,           0.0091316,            0.027539,             0.92834,             0.96974,             0.98955,             0.84815,            0.011655,           0.0023095,           0.0079107,             0.00505,             0.00505,             0.00505
                  27,            0.026314,           0.0090935,            0.025076,             0.97484,             0.98297,             0.99235,             0.84667,            0.011367,           0.0021322,           0.0034107,            0.004852,            0.004852,            0.004852
                  28,            0.026952,           0.0090525,            0.024623,             0.97992,             0.99545,               0.993,             0.85225,           0.0096207,           0.0021779,            0.002376,            0.004654,            0.004654,            0.004654
                  29,            0.025436,           0.0089335,            0.023034,             0.98008,             0.98295,             0.99207,             0.85969,            0.010655,           0.0021087,           0.0023985,            0.004456,            0.004456,            0.004456
                  30,            0.024901,           0.0088235,            0.019856,             0.97808,             0.99025,               0.993,             0.83862,            0.010607,           0.0021239,           0.0021361,            0.004258,            0.004258,            0.004258
                  31,            0.024316,           0.0089316,             0.02119,             0.92837,             0.94796,             0.98511,             0.81285,            0.010853,           0.0026798,           0.0071966,             0.00406,             0.00406,             0.00406
                  32,            0.023544,           0.0088796,            0.019411,             0.93299,             0.91593,             0.97386,             0.80846,           0.0098115,           0.0024572,           0.0091512,            0.003862,            0.003862,            0.003862
                  33,            0.024217,           0.0088371,            0.020734,             0.98041,             0.99217,             0.99301,             0.87438,           0.0091475,           0.0020398,           0.0015848,            0.003664,            0.003664,            0.003664
                  34,            0.024148,           0.0086824,            0.020854,             0.97167,             0.98986,             0.99301,             0.87249,           0.0088229,           0.0020134,           0.0021799,            0.003466,            0.003466,            0.003466
                  35,            0.023877,           0.0086946,            0.020525,             0.97979,             0.98791,             0.99301,             0.87616,            0.010099,           0.0020397,           0.0015685,            0.003268,            0.003268,            0.003268
                  36,             0.02209,           0.0084121,            0.017068,             0.98339,              0.9929,             0.99301,               0.879,           0.0089459,           0.0020122,           0.0010293,             0.00307,             0.00307,             0.00307
                  37,            0.022269,           0.0084068,            0.016318,             0.98317,             0.99138,             0.99301,             0.87566,           0.0085602,           0.0019896,           0.0011272,            0.002872,            0.002872,            0.002872
                  38,            0.021819,           0.0083532,            0.017399,             0.98325,             0.99353,             0.99302,             0.87419,           0.0089685,           0.0020708,           0.0013183,            0.002674,            0.002674,            0.002674
                  39,            0.022279,           0.0083751,            0.017941,             0.98465,             0.99441,             0.99302,             0.88348,           0.0085689,           0.0019319,          0.00096654,            0.002476,            0.002476,            0.002476
                  40,            0.022761,           0.0084028,            0.019273,             0.98244,             0.99456,             0.99303,             0.88851,           0.0085394,           0.0019382,          0.00086177,            0.002278,            0.002278,            0.002278
                  41,            0.022065,           0.0082228,            0.017606,             0.98455,             0.99613,             0.99302,             0.89309,           0.0078065,           0.0018916,          0.00072195,             0.00208,             0.00208,             0.00208
                  42,            0.021442,           0.0082688,            0.016555,             0.98378,             0.99503,             0.99304,             0.89462,           0.0078611,            0.001883,          0.00071704,            0.001882,            0.001882,            0.001882
                  43,            0.021128,           0.0081642,            0.016435,             0.98613,             0.99444,             0.99303,             0.90065,           0.0075955,            0.001835,          0.00057098,            0.001684,            0.001684,            0.001684
                  44,            0.020121,           0.0080753,            0.015305,               0.981,             0.98854,             0.99302,               0.896,           0.0073304,            0.001864,          0.00070127,            0.001486,            0.001486,            0.001486
                  45,            0.020017,           0.0079856,             0.01588,             0.97925,             0.99562,             0.99303,             0.89792,           0.0077969,           0.0018734,          0.00066881,            0.001288,            0.001288,            0.001288
                  46,            0.018395,           0.0078619,            0.013372,             0.98441,             0.99602,             0.99303,             0.90532,           0.0072111,           0.0017597,          0.00044105,             0.00109,             0.00109,             0.00109
                  47,             0.01885,           0.0077174,            0.013657,             0.98731,             0.99576,             0.99304,             0.90434,           0.0074601,           0.0018154,          0.00043529,            0.000892,            0.000892,            0.000892
                  48,            0.018811,           0.0079248,            0.014121,             0.98516,              0.9958,             0.99303,             0.91137,           0.0068342,           0.0017448,          0.00044216,            0.000694,            0.000694,            0.000694
                  49,            0.017411,           0.0078901,            0.013065,             0.98103,             0.99561,             0.99303,             0.91054,            0.006842,           0.0017525,          0.00034154,            0.000496,            0.000496,            0.000496
